what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405510928096
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405510928096
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405510929592
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405510929592
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405510930507
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405510932210
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1405510933626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405510963714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405510989689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405510991115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405510991321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405510993105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405510993197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405510994066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405510997607
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405510999310
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405510999354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511033672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511039783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511052358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511056947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511064786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511066323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511081136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511092155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511099927
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1405511119091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511119935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511123940
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405511125511
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405511125812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405511195776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405511199745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511202166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511203190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511203388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511205537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511205655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511206900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511208309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511211675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511212024
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405511213863
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405511213922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511232833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511233664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511249704
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405511264916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405511265197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511276312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511277621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511277834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511279997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511280100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511281124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511284515
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405511287491
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1405511287590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511298208
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405511319973
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405511320308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511330554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511331614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511331816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511335033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405511335129
